genes,t_stats,p_values,fdr_corrected_p
FYTTD1,-0.7132270592234481,0.47639819172042597,0.8918617310114951
ST6GALNAC2,-0.2936724264483775,0.7692620245751771,0.9673470204671337
EPHA10,-0.5212502871477966,0.6026730612654541,0.9232716573103205
CCDC87,1.8223320376617644,0.06964904308462633,0.6140035366816882
OXCT2,-1.392367665407339,0.1650997995337914,0.7189762992715542
KIRREL2,-1.2602578103386186,0.20880033317993246,0.7692643853997513
REM2,-0.016317203408758075,0.9869948894489495,0.9944066157777277
CTDSP2,-0.2949593176524626,0.7682799492038777,0.9673470204671337
IER2,1.5597467188138878,0.12013739200880745,0.7052575556013689
FOXH1,-0.1730364079544732,0.8627686526223725,0.9763984461847085
SERPINA3,0.43884095187631933,0.6611715862375678,0.9470084033287726
TCIRG1,-1.0882438234945326,0.2775790866795158,0.827294381660711
PSMB4,-1.1152516999669184,0.26585804785917194,0.827294381660711
QRICH2,-2.030051979750963,0.04345439583573847,0.5291611194242725
SEM1,-1.0753916486080137,0.2832793154920617,0.827294381660711
VPS50,-0.17640770334587283,0.8601224197808852,0.9763984461847085
IL9R,3.2997788443657123,0.0011146732509203687,0.14942748727637947
POLD3,-1.0622106070820192,0.2892077517954838,0.827294381660711
NARS2,-0.11585794649632104,0.9078620065786309,0.9794916357866792
NLRP9,1.073680531725362,0.2840442110143072,0.827294381660711
MED9,-1.6307310383618794,0.10425866470737498,0.7014515494709797
HNF1B,-0.492073209071031,0.6231173805383632,0.9306298540508021
CD248,-0.5320359023268089,0.595193284759028,0.9232716573103205
DLX6,-0.7301523068317441,0.46600918675610525,0.8903169043674025
ST6GALNAC1,-1.4363389931169142,0.15220810743963334,0.7189762992715542
AGO1,-1.4304220178600955,0.1538965628712686,0.7189762992715542
PELI3,-0.0783908804487709,0.9375824454595477,0.9798238778023457
AGO4,0.3267780836814026,0.7441205432568699,0.9628424872359889
CCND1,-0.7391341775538061,0.4605477978700627,0.8903169043674025
SLC43A3,1.2125282508456054,0.22650245032882835,0.7899394404090793
APOD,0.46747683908861365,0.640582928522274,0.939288264955247
CTSG,1.2563023932949744,0.2102278423986429,0.7723424426259268
FLNA,0.8213996130836947,0.41223387852111615,0.8684364720907436
CD300C,-0.5588103350526205,0.5768121839084384,0.9232716573103205
LINGO4,0.5137134185901991,0.6079249898924408,0.9242296824615955
PPP4R4,0.9781668032680837,0.3289767853603113,0.8375500777896137
ARNT,-0.014072594147187197,0.988783756178319,0.9950606962921152
CYP27B1,-1.1825064536757648,0.23817498202580206,0.8060521199733213
TEN1,1.426415295188811,0.15504802291302544,0.7189762992715542
MINDY1,-1.085205839437677,0.2789193545761493,0.827294381660711
MTCP1,0.167035121787908,0.8674830631537077,0.9763984461847085
PCED1B,0.7632231088254717,0.4460799136919935,0.8877486539482193
TBC1D9B,-0.9734019664762679,0.3313336090075283,0.8400741897671189
ANKRD13D,0.3776511765749216,0.7060235038661619,0.9507085399421508
HECTD3,-1.5782815303551634,0.11581804862756197,0.7052575556013689
PHACTR3,0.04623151088347733,0.963164172479682,0.9853233834523528
ITCH,0.9499486778246035,0.3430939401141264,0.8451964676789492
DDX24,1.4797468593238552,0.1402522382909277,0.7189762992715542
HIC2,-2.5293381150772882,0.012069318023206111,0.3453847165597089
MRNIP,0.5835871842912344,0.5600461168655348,0.9202477346414158
KCTD14,-1.3688284143226968,0.17233270680776172,0.7189762992715542
PIP4K2C,-0.06160576171980419,0.9509280608149749,0.984588790340795
RMC1,-1.4775632035174293,0.14083578690204232,0.7189762992715542
MMP1,0.6836025460585635,0.49488562603753883,0.9022161164049712
CDR2L,-0.79954711375029,0.4247638572186755,0.8743147011917128
AANAT,0.7331217773101742,0.46419961871813364,0.8903169043674025
TTC39C,0.27369332904152927,0.7845557000079229,0.9677277617569142
TEAD3,-0.26360816890360794,0.7923080542040016,0.9677277617569142
CARNS1,0.08903374400635332,0.929129343806634,0.9794916357866792
NDUFS8,-2.760824751584143,0.006210994857940397,0.27692562717370206
NPTX2,0.03412235111769508,0.9728079469762345,0.9885693314888108
MLANA,0.310612092251083,0.7563651163907098,0.9673470204671337
TANGO2,-0.986366991640849,0.3249464041508303,0.8354664130987631
YRDC,-0.08880159804241272,0.9293136435971303,0.9794916357866792
SCAF11,-0.8915174740941098,0.3735445362842763,0.8645012207158099
GPT,-0.6783865514880272,0.49818020340622327,0.9022161164049712
DGCR6L,-0.40748846801760485,0.6840124934729078,0.9507085399421508
RBM14,1.3320189651611003,0.18411747930553465,0.7234379582519852
GRIN2C,-1.0498281006544448,0.2948531321554856,0.827294381660711
FJX1,-1.0393653283057231,0.2996808224669265,0.827294381660711
TAC1,-0.48220207311319585,0.630101869095705,0.9349898702710461
ATP2B3,0.15040747711629826,0.8805694735574868,0.9763984461847085
SEC14L1,-0.4677057008247702,0.6404194700929855,0.939288264955247
PYM1,0.29862341495382,0.7654857920099424,0.9673470204671337
TM9SF1,1.2965980794425065,0.1960147748985171,0.7425500884390883
SLC35C1,1.618658483486934,0.10683413211111302,0.7014515494709797
TINF2,1.9784853749047286,0.04901745143144488,0.5442627365836293
GOLT1B,-0.0027375740288531607,0.9978180087731138,0.9987195824034882
RELT,0.46247693775449905,0.6441583427384545,0.941957249599375
ADAM22,-1.6996618563993457,0.09049015742126143,0.6623325794588846
MMP8,0.45113870579499,0.6522969348895798,0.9444227204786183
TREML1,0.6590361273086583,0.510504376396353,0.9048338615099487
ERI3,-1.6267297564323384,0.10510671277884104,0.7014515494709797
ACP7,-0.8043854123351504,0.4219704925888407,0.8743147011917128
INSM2,-0.581054506090173,0.5617489766357259,0.9202477346414158
EPOP,0.7448518481284685,0.457090039094869,0.8903169043674025
MED29,0.49486408722179104,0.6211487816817887,0.9295561765094668
CMTR1,2.6956294029382737,0.007522668916915371,0.2954023647861889
HID1,0.7618267090454608,0.44691142023577746,0.8877865364236777
XYLT2,-0.5386768417874599,0.5906091350031787,0.9232716573103205
MANSC4,-0.6132471535646875,0.5402936529252498,0.918551226762813
CLDN1,0.3396179466880016,0.7344412718639608,0.960866787063455
SMIM9,1.2024315635586527,0.2303813424886748,0.7976644331328311
IFI27,0.28763074588899895,0.773877616373707,0.9673470204671337
ASNS,2.910905090318755,0.0039428710512780475,0.24195362129608802
EFR3A,0.7774976941465894,0.43763091336789295,0.8807322131528845
HSD17B6,-0.0874915187657134,0.930353781738483,0.9794916357866792
NCCRP1,-0.3828076602601228,0.7022011960598886,0.9507085399421508
MAPK8IP1,0.14722866796192213,0.8830751385911064,0.9763984461847085
VPS28,-1.9887446411140448,0.047865083531063245,0.5426956653874072
PXT1,1.0402037618020183,0.29929201164405783,0.827294381660711
MUC20,1.0275979878519061,0.30517351060174136,0.827294381660711
ETFBKMT,-1.3529415645599607,0.17734741267151705,0.7189762992715542
BCAT1,-0.4310953354397747,0.6667859969654504,0.9483440416204727
TFIP11,-2.2715674047277226,0.023998727281464547,0.409246601155016
ZFP36,-0.14629921943925517,0.8838079908725921,0.9763984461847085
PRCD,0.818145463354459,0.41408567422266096,0.8684364720907436
RNF168,-1.3843743028841562,0.16752968470631163,0.7189762992715542
PON1,0.7138825223831724,0.47599349461775897,0.8918617310114951
PLAAT5,0.9994457398672283,0.31858541405567753,0.827294381660711
RNF8,-0.5077984740381413,0.6120610342546452,0.9270162419096697
HAUS7,-1.6994070167955062,0.09053820696024358,0.6623325794588846
FBXO27,-1.2137135251961275,0.22605019104004775,0.7899394404090793
ALKBH6,1.8880320883652377,0.060227934306485716,0.6119508093736731
TMEM134,-0.4380701163646761,0.6617294743756952,0.9470084033287726
ZFAND3,-0.27085730107125605,0.7867335878385769,0.9677277617569142
LEKR1,1.7258199260504457,0.08566686939466998,0.6605192321722487
HAUS4,-0.8627566429104518,0.38913257677783464,0.8684364720907436
STARD10,2.4483597445301752,0.015067735422533018,0.3673445381008695
MIA2,0.17934103173783505,0.8578212447625244,0.9763984461847085
PTGES3,2.8565128519919245,0.004658734323092378,0.24195362129608802
SEC61G,0.28788264057484997,0.773685017283998,0.9673470204671337
OSBPL1A,1.1426647516322206,0.2543164275034167,0.8213068073870673
FAM53B,0.14599627351765113,0.8840468795575185,0.9763984461847085
MRPS10,-1.8210414696535766,0.06984565546997078,0.6140035366816882
FITM1,-0.07099271474974249,0.9434626748623685,0.9818842317572161
NUP85,-0.09744233730717652,0.9224564504777256,0.9794916357866792
ZNF536,-0.08833405481140101,0.92968483594423,0.9794916357866792
LLGL2,-2.0366464295629787,0.04278326371697389,0.5291611194242725
PDK4,-0.9613780496590307,0.3373296937514402,0.8404694858841214
STEAP2,0.6584723597767599,0.5108658261568593,0.9048338615099487
RBM48,0.42838991422169737,0.6687514758077826,0.9491549018044851
PAF1,-0.40183582653474165,0.6881624588192541,0.9507085399421508
ZBTB39,0.807660110926336,0.42008602840414133,0.8743147011917128
SUPT5H,0.2878778702030954,0.7736886645878615,0.9673470204671337
RESF1,-1.2972450428682596,0.19579250434217588,0.7425500884390883
ZNF780A,0.7088376020068022,0.4791132200804529,0.891968727817249
SRSF3,-1.7599758057408035,0.07968581821272759,0.6481079158535112
CYGB,-1.316117870391838,0.1893901201413365,0.7329761861239225
BTBD17,-1.0136338172797141,0.3117783020444092,0.827294381660711
ITFG1,0.01230754188135962,0.9901904748432966,0.9957197440363054
FBXO45,0.3573923592646567,0.7211121694740801,0.953194247005968
CFAP57,-0.6320976411326453,0.5279247486604859,0.9136247524375081
ABCB4,-0.717453141061977,0.4737922512899534,0.8903861613181947
SMURF1,-2.2968140350350255,0.0224913006309471,0.409246601155016
MRPL52,-1.061638860907212,0.28946679548710014,0.827294381660711
KCNQ4,-1.4253154548953413,0.15536524592107206,0.7189762992715542
ZFP30,-0.00855925706459146,0.9931778947110848,0.9975149160853689
MRPL40,-1.235739117474934,0.21776372367969818,0.7843391389805684
MLLT11,0.699446389566806,0.48495044451711455,0.8943530534622618
RFXANK,0.6247807449127213,0.5327084957213504,0.9179646928674411
CYP24A1,0.4108042820102753,0.6815825939384493,0.9507085399421508
ZNF681,0.6885627002446166,0.4917635461757346,0.9008633112172126
HRH1,-0.6404833773069943,0.5224694224092091,0.9108430012010649
RPL38,1.621854405184007,0.10614745063314043,0.7014515494709797
TOP3B,-0.12957672248859356,0.8970098510582118,0.9780207436079935
SSTR1,-0.10591804849579758,0.9157358485903826,0.9794916357866792
THAP7,-0.5252415849151801,0.5999001500729412,0.9232716573103205
EEF1AKMT3,2.064877044652536,0.04000898029733998,0.5218988596833762
DUSP9,-0.6632777150501097,0.5077892759779641,0.9048338615099487
CPD,2.413109358738,0.016567445881199815,0.37183619958112696
TTYH2,-1.6892307897625491,0.09247385546225444,0.6673695601843742
MAPK7,-1.0231979328152763,0.307244499277469,0.827294381660711
IGHMBP2,0.8761728346986994,0.3818121791127447,0.8684364720907436
MCL1,-0.5863752616465876,0.5581744546053946,0.9202477346414158
CPNE8,-0.4423420033996098,0.6586401052999669,0.9452827104953029
TBX1,-1.5576957491315968,0.12062304813361714,0.7052575556013689
PON3,0.1501229184491507,0.8807937254862046,0.9763984461847085
PMEPA1,-1.006738735727314,0.3150742619096824,0.827294381660711
SLC43A1,-0.2827336267396685,0.7776247313678231,0.9677277617569142
RTF2,-1.355157501979577,0.1766414576027702,0.7189762992715542
AMIGO1,0.24084630847613758,0.8098798562156327,0.9694472628306088
DBX2,-0.941550183507195,0.34736973269585203,0.8451964676789492
TREM2,-0.14305881253018551,0.886363767920947,0.9763984461847085
WDR53,-0.16266415473925835,0.8709197467619852,0.9763984461847085
MLLT6,0.1402720091942531,0.8885627309811204,0.9763984461847085
SNIP1,-0.8527181785556861,0.3946657728753469,0.8684364720907436
SLC25A19,0.31001645430673874,0.7568174688191756,0.9673470204671337
BRD1,2.3488360280434537,0.019644152726399175,0.4054507101427252
ATP2B2,-1.1668262949519927,0.24443858668061505,0.8097656883863996
B9D1,1.700206359560076,0.09038756152731989,0.6623325794588846
PRG3,0.5668550608090279,0.5713424146702697,0.9232716573103205
PUS7L,-0.11909189688335158,0.9053021730152142,0.9794916357866792
MED8,-1.1110753880131075,0.26764774826258564,0.827294381660711
SRPK3,0.29600579192215637,0.7674816208350863,0.9673470204671337
TPCN2,-0.25967201494374054,0.7953393948862926,0.9677277617569142
CFAP69,0.0639954347597333,0.9490271310030811,0.984588790340795
REP15,-0.32190874738483,0.7478020305433306,0.9641988797319719
TCAP,-0.7654251348080545,0.4447704883193917,0.8877486539482193
CTTN,-0.7837314685413669,0.43397045990647,0.8764660923418588
SLAMF9,0.7303437125013312,0.46589242716380697,0.8903169043674025
C8orf82,0.1989548173275725,0.8424665316001967,0.9745644443343103
FGD2,0.5630352725830402,0.573936467799143,0.9232716573103205
UCP3,0.39818015399458906,0.690851371280617,0.9507085399421508
IKBKG,2.269141856532886,0.024148091372500943,0.409246601155016
PPP1R3E,-1.1361920269611312,0.2570094607015862,0.8213068073870673
SRCIN1,0.729926313042329,0.46614706653646343,0.8903169043674025
SSR4,1.3463369683182138,0.1794640518111861,0.7205414549027671
MED15,-0.24470981931452723,0.8068902162859638,0.9677277617569142
YAF2,1.0959123707588234,0.274215608419162,0.827294381660711
RALGAPA1,0.732341502675768,0.46467472932537546,0.8903169043674025
SNAP29,0.38234748592578577,0.7025419998966071,0.9507085399421508
NAA10,-1.127550329594118,0.2606358679595414,0.827294381660711
GZMB,0.3682696051008799,0.7129968265182851,0.9507085399421508
PSMA5,-0.35301980147468026,0.7243834533804753,0.9531994939964098
SAMD7,-0.6182499570142783,0.5369968540440502,0.9179646928674411
DNAJB13,2.2875268702374654,0.02303590641934675,0.409246601155016
SELENBP1,-0.8297993224073567,0.4074768607612441,0.8684364720907436
HPS4,1.4474848416665667,0.1490661410393857,0.7189762992715542
EVPL,-3.0974379500552054,0.002184335894522869,0.19537671056565659
SYPL2,0.8578709498199601,0.39181961042332547,0.8684364720907436
KIT,-2.3812083183254242,0.018036827700357288,0.3871905679676698
MECP2,1.37261523476815,0.17115329694905784,0.7189762992715542
